Symbol,Date,Open,High,Low,Close,Adjusted_Close,Volume
AAPL,1/3/2020,297.149994,300.579987,296.5,297.429993,296.725769,36580700
AAPL,1/6/2020,293.790009,299.959991,292.75,299.799988,299.090149,29596800
AAPL,1/7/2020,299.839996,300.899994,297.480011,298.390015,297.683533,27218000
AAPL,1/8/2020,297.160004,304.440002,297.160004,303.190002,302.472137,33019800
AAPL,1/9/2020,307.23999,310.429993,306.200012,309.630005,308.896912,42527100
AAPL,1/10/2020,310.600006,312.670013,308.25,310.329987,309.595215,35161200
AAPL,1/13/2020,311.640015,317.070007,311.149994,316.959991,316.209534,30383000
AAPL,1/14/2020,316.700012,317.570007,312.170013,312.679993,311.939667,40488600
AAPL,1/15/2020,311.850006,315.5,309.549988,311.339996,310.602844,30480900
AAPL,1/16/2020,313.589996,315.700012,312.089996,315.23999,314.493591,27207300
AAPL,1/17/2020,316.269989,318.73999,315,318.730011,317.975372,34454100
AAPL,1/21/2020,317.190002,319.019989,316,316.570007,315.820465,27710800
AAPL,1/22/2020,318.579987,319.98999,317.309998,317.700012,316.947815,25458100
AAPL,1/23/2020,317.920013,319.559998,315.649994,319.230011,318.474182,26118000
AAPL,1/24/2020,320.25,323.329987,317.519989,318.309998,317.556335,36634400
AAPL,1/27/2020,310.059998,311.769989,304.880005,308.950012,308.218506,40485000
AAPL,1/28/2020,312.600006,318.399994,312.190002,317.690002,316.937805,40558500
AAPL,1/29/2020,324.450012,327.850006,321.380005,324.339996,323.572052,54057300
AAPL,1/30/2020,320.540009,324.089996,318.75,323.869995,323.10318,31685800
AAPL,1/31/2020,320.929993,322.679993,308.290009,309.51001,308.777191,49897100
AAPL,2/3/2020,304.299988,313.48999,302.220001,308.660004,307.929199,43496400
AAPL,2/4/2020,315.309998,319.640015,313.630005,318.850006,318.095062,34154100
AAPL,2/5/2020,323.519989,324.76001,318.950012,321.450012,320.688934,29706700
AAPL,2/6/2020,322.570007,325.220001,320.26001,325.209991,324.440002,26356400
AAPL,2/7/2020,322.369995,323.399994,318,320.029999,320.029999,29421000
AAPL,2/10/2020,314.179993,321.549988,313.850006,321.549988,321.549988,27337200
AAPL,2/11/2020,323.600006,323.899994,318.709991,319.609985,319.609985,23580800
AAPL,2/12/2020,321.470001,327.220001,321.470001,327.200012,327.200012,28432600
AAPL,2/13/2020,324.190002,326.220001,323.350006,324.869995,324.869995,23686900
AAPL,2/14/2020,324.73999,325.980011,322.850006,324.950012,324.950012,20028400
AAPL,2/18/2020,315.359985,319.75,314.609985,319,319,38132800
AAPL,2/19/2020,320,324.570007,320,323.619995,323.619995,23496000
AAPL,2/20/2020,322.630005,324.649994,318.209991,320.299988,320.299988,25141500
AAPL,2/21/2020,318.619995,320.450012,310.5,313.049988,313.049988,32388500
AAPL,2/24/2020,297.26001,304.179993,289.230011,298.179993,298.179993,55548800
AAPL,2/25/2020,300.950012,302.529999,286.130005,288.079987,288.079987,57668400
AAPL,2/26/2020,286.529999,297.880005,286.5,292.649994,292.649994,49513700
AAPL,2/27/2020,281.100006,286,272.959991,273.519989,273.519989,80151400
AAPL,2/28/2020,257.26001,278.410004,256.369995,273.359985,273.359985,106721200
AAPL,3/2/2020,282.279999,301.440002,277.720001,298.809998,298.809998,85349300
AAPL,3/3/2020,303.670013,304,285.799988,289.320007,289.320007,79868900
AAPL,3/4/2020,296.440002,303.399994,293.130005,302.73999,302.73999,54794600
AAPL,3/5/2020,295.519989,299.549988,291.410004,292.920013,292.920013,46893200
IBM,1/2/2019,112.010002,115.980003,111.690002,115.209999,108.800987,4239900
IBM,1/3/2019,114.529999,114.879997,112.690002,112.910004,106.628937,4346700
IBM,1/4/2019,114.910004,117.489998,114.440002,117.32,110.793617,4477800
IBM,1/7/2019,117.5,118.830002,116.669998,118.150002,111.577446,3751200
IBM,1/8/2019,119.660004,120.57,118.980003,119.830002,113.163979,4763600
IBM,1/9/2019,120.910004,121.400002,119.870003,120.690002,113.976151,3633700
IBM,1/10/2019,120.080002,121.860001,119.949997,121.790001,115.014954,3910000
IBM,1/11/2019,121.580002,121.620003,120.199997,121.459999,114.703316,3722400
IBM,1/14/2019,120.510002,120.650002,119.760002,120.389999,113.692841,5228700
IBM,1/15/2019,120.959999,121.93,120.82,121.730003,114.958298,3507500
IBM,1/16/2019,121.580002,122,120.830002,121.620003,114.854416,3841100
IBM,1/17/2019,120.559998,122.410004,120.550003,122.190002,115.392708,5029900
IBM,1/18/2019,123.269997,124.720001,122.709999,123.82,116.93203,6008500
IBM,1/22/2019,123.300003,123.800003,121.540001,122.519997,115.704338,10052400
IBM,1/23/2019,131.369995,135,130.309998,132.889999,125.497467,22063700
IBM,1/24/2019,132.630005,133.210007,131.429993,132.529999,125.157501,6322900
IBM,1/25/2019,132.869995,134.440002,132.429993,133.970001,126.517395,5707400
IBM,1/28/2019,133.100006,134.809998,132.580002,134.270004,126.80072,5357700
IBM,1/29/2019,134.289993,135.410004,133.600006,134.330002,126.857368,5037100
IBM,1/30/2019,134,135.029999,133.25,134.380005,126.904587,4500900
IBM,1/31/2019,134.449997,134.720001,133.740005,134.419998,126.94236,4884000
IBM,2/1/2019,134.970001,135.199997,133.350006,134.100006,126.640167,3806000
IBM,2/4/2019,134.020004,135.199997,132.990005,135.190002,127.66951,3966600
IBM,2/5/2019,135.279999,135.820007,134.919998,135.550003,128.009506,5398900
IBM,2/6/2019,135.220001,136.649994,135.169998,136.320007,128.736679,4879700
IBM,2/7/2019,133.550003,134.470001,132.119995,133.190002,127.246292,4379400
IBM,2/8/2019,132.339996,133.710007,132.190002,133.710007,127.743095,3249800
IBM,2/11/2019,134.289993,135.149994,133.910004,133.990005,128.01059,3095100
IBM,2/12/2019,135.149994,136.199997,134.860001,136.050003,129.978668,3317200
IBM,2/13/2019,136.919998,137.919998,136.410004,137.520004,131.383072,4253000
IBM,2/14/2019,137.169998,137.600006,136.210007,136.479996,130.389465,2789400
